STA_NO	INFO_DATE	H	TBD	TBDCAL	SS	TDS	ORP	EC	PH	CS	CHA	DOD	DOQ	DC	MachThe	INC	TBSTS   HL
NW07	2021-06-01 00:00:00	831.01	287.33	258	0.4	null	null	170	null	18.825	null	null	null	null	null	null	CON	0.3874
NW07	2021-06-01 00:05:00	831	283	258	0.4	null	null	170	null	18.8125	null	null	null	null	null	null	CON	0.3812
NW07	2021-06-01 00:10:00	831	278	258	0.4	null	null	170	null	18.8125	null	null	null	null	null	null	CON	0.3812
NW07	2021-06-01 00:15:00	830.99	273.67	258	0.4	null	null	170	null	18.8	null	null	null	null	null	null	CON	0.3749
NW07	2021-06-01 00:20:00	830.99	268.67	238	0.375	null	null	170	null	18.7875	null	null	null	null	null	null	CON	0.3749
NW07	2021-06-01 00:25:00	830.99	264.33	238	0.375	null	null	170	null	18.7875	null	null	null	null	null	null	CON	0.3687
NW07	2021-06-01 00:30:00	830.98	260	238	0.375	null	null	171	null	18.775	null	null	null	null	null	null	CON	0.3624
NW07	2021-06-01 00:35:00	830.98	253.67	238	0.375	null	null	171	null	18.7625	null	null	null	null	null	null	CON	0.3562
NW07	2021-06-01 00:40:00	830.98	249.33	238	0.375	null	null	171	null	18.7625	null	null	null	null	null	null	CON	0.3624
NW07	2021-06-01 00:45:00	830.98	246.33	197	0.325	null	null	171	null	18.75	null	null	null	null	null	null	CON	0.3562
NW07	2021-06-01 00:50:00	830.98	242.67	197	0.325	null	null	171	null	18.75	null	null	null	null	null	null	CON	0.3562
NW07	2021-06-01 00:55:00	830.96	238.33	176	0.3	null	null	171	null	18.7375	null	null	null	null	null	null	CON	0.3437
NW07	2021-06-01 01:00:00	830.96	234.33	156	0.275	null	null	171	null	18.7375	null	null	null	null	null	null	CON	0.3374
NW07	2021-06-01 01:05:00	830.96	230.67	156	0.275	null	null	171	null	18.725	null	null	null	null	null	null	CON	0.3374
NW07	2021-06-01 01:10:00	830.95	227	156	0.275	null	null	172	null	18.725	null	null	null	null	null	null	CON	0.3312
NW07	2021-06-01 01:15:00	830.94	223	156	0.275	null	null	172	null	18.7125	null	null	null	null	null	null	CON	0.3249
NW07	2021-06-01 01:20:00	830.95	218	115	0.225	null	null	172	null	18.7125	null	null	null	null	null	null	CON	0.3312
NW07	2021-06-01 01:25:00	830.94	214.67	135	0.25	null	null	172	null	18.7	null	null	null	null	null	null	CON	0.3249
NW07	2021-06-01 01:30:00	830.94	211	135	0.25	null	null	172	null	18.7	null	null	null	null	null	null	CON	0.3249
NW07	2021-06-01 01:35:00	830.94	209.33	115	0.225	null	null	172	null	18.7	null	null	null	null	null	null	CON	0.3187
NW07	2021-06-01 01:40:00	830.94	206.67	115	0.225	null	null	173	null	18.6875	null	null	null	null	null	null	CON	0.3187
NW07	2021-06-01 01:45:00	830.93	204.67	94	0.2	null	null	173	null	18.6875	null	null	null	null	null	null	CON	0.3124
NW07	2021-06-01 01:50:00	830.93	202.33	135	0.25	null	null	173	null	18.6875	null	null	null	null	null	null	CON	0.3062
NW07	2021-06-01 01:55:00	830.93	199	94	0.2	null	null	173	null	18.675	null	null	null	null	null	null	CON	0.3062
NW07	2021-06-01 02:00:00	830.92	196	94	0.2	null	null	174	null	18.675	null	null	null	null	null	null	CON	0.2999
NW07	2021-06-01 02:05:00	830.92	192.67	94	0.2	null	null	174	null	18.675	null	null	null	null	null	null	CON	0.2999
NW07	2021-06-01 02:10:00	830.91	190.33	74	0.175	null	null	174	null	18.675	null	null	null	null	null	null	CON	0.2937
NW07	2021-06-01 02:15:00	830.91	187.67	74	0.175	null	null	175	null	18.675	null	null	null	null	null	null	CON	0.2937
NW07	2021-06-01 02:20:00	830.91	185	74	0.175	null	null	175	null	18.675	null	null	null	null	null	null	CON	0.2937
NW07	2021-06-01 02:25:00	830.91	182	74	0.175	null	null	175	null	18.6625	null	null	null	null	null	null	CON	0.2874
NW07	2021-06-01 02:30:00	830.91	179	74	0.175	null	null	175	null	18.6625	null	null	null	null	null	null	CON	0.2874
NW07	2021-06-01 02:35:00	830.9	175.33	74	0.175	null	null	176	null	18.6625	null	null	null	null	null	null	CON	0.2812
NW07	2021-06-01 02:40:00	830.9	171.67	74	0.175	null	null	176	null	18.6625	null	null	null	null	null	null	CON	0.2812
NW07	2021-06-01 02:45:00	830.89	168.67	74	0.175	null	null	176	null	18.6625	null	null	null	null	null	null	CON	0.2749
NW07	2021-06-01 02:50:00	830.89	165	53	0.15	null	null	177	null	18.6625	null	null	null	null	null	null	CON	0.2749
NW07	2021-06-01 02:55:00	830.89	162	53	0.15	null	null	177	null	18.6625	null	null	null	null	null	null	CON	0.2749
NW07	2021-06-01 03:00:00	830.89	159.67	53	0.15	null	null	177	null	18.6625	null	null	null	null	null	null	CON	0.2687
NW07	2021-06-01 03:05:00	830.89	157.67	53	0.15	null	null	177	null	18.6625	null	null	null	null	null	null	CON	0.2687
