STA_NO	INFO_DATE	H	TBD	TBDCAL	SS	TDS	ORP	EC	PH	CS	CHA	DOD	DOQ	DC	MachThe	INC	TBSTS   HL
NW07	2022-06-01 00:00:00	830.58	15.67	null	0	null	null	177	null	18.775	null	null	null	null	null	null	CON	0
NW07	2022-06-01 00:05:00	830.58	15.33	null	0	null	null	177	null	18.7625	null	null	null	null	null	null	CON	0
NW07	2022-06-01 00:10:00	830.58	15	null	0	null	null	178	null	18.75	null	null	null	null	null	null	CON	0
NW07	2022-06-01 00:15:00	830.58	15	null	0	null	null	177	null	18.75	null	null	null	null	null	null	CON	0
NW07	2022-06-01 00:20:00	830.58	15	null	0	null	null	178	null	18.7375	null	null	null	null	null	null	CON	0
NW07	2022-06-01 00:25:00	830.59	15	null	0	null	null	178	null	18.725	null	null	null	null	null	null	CON	0
NW07	2022-06-01 00:30:00	830.58	15	null	0	null	null	178	null	18.7125	null	null	null	null	null	null	CON	0
NW07	2022-06-01 00:35:00	830.58	15	null	0	null	null	178	null	18.7	null	null	null	null	null	null	CON	0
NW07	2022-06-01 00:40:00	830.58	15	null	0	null	null	178	null	18.6875	null	null	null	null	null	null	CON	0
NW07	2022-06-01 00:45:00	830.58	15	null	0	null	null	178	null	18.675	null	null	null	null	null	null	CON	0
NW07	2022-06-01 00:50:00	830.58	15	null	0	null	null	178	null	18.675	null	null	null	null	null	null	CON	0
NW07	2022-06-01 00:55:00	830.58	15	null	0	null	null	178	null	18.6625	null	null	null	null	null	null	CON	0
NW07	2022-06-01 01:00:00	830.58	15	null	0	null	null	178	null	18.65	null	null	null	null	null	null	CON	0
NW07	2022-06-01 01:05:00	830.58	15	null	0	null	null	178	null	18.6375	null	null	null	null	null	null	CON	0
NW07	2022-06-01 01:10:00	830.58	15	null	0	null	null	178	null	18.625	null	null	null	null	null	null	CON	0
NW07	2022-06-01 01:15:00	830.58	15	null	0	null	null	178	null	18.6125	null	null	null	null	null	null	CON	0
NW07	2022-06-01 01:20:00	830.58	15	null	0	null	null	178	null	18.6	null	null	null	null	null	null	CON	0
NW07	2022-06-01 01:25:00	830.58	14	null	0	null	null	178	null	18.5875	null	null	null	null	null	null	CON	0
NW07	2022-06-01 01:30:00	830.58	13.5	null	0	null	null	178	null	18.5875	null	null	null	null	null	null	CON	0
NW07	2022-06-01 01:35:00	830.58	14	null	0	null	null	178	null	18.575	null	null	null	null	null	null	CON	0
NW07	2022-06-01 01:40:00	830.58	14.67	null	0	null	null	178	null	18.5625	null	null	null	null	null	null	CON	0
NW07	2022-06-01 01:45:00	830.58	15	null	0	null	null	178	null	18.55	null	null	null	null	null	null	CON	0
NW07	2022-06-01 01:50:00	830.58	15	null	0	null	null	178	null	18.55	null	null	null	null	null	null	CON	0
NW07	2022-06-01 01:55:00	830.58	15	null	0	null	null	178	null	18.5375	null	null	null	null	null	null	CON	0
NW07	2022-06-01 02:00:00	830.58	15	null	0	null	null	178	null	18.525	null	null	null	null	null	null	CON	0
NW07	2022-06-01 02:05:00	830.58	15	null	0	null	null	178	null	18.5125	null	null	null	null	null	null	CON	0
NW07	2022-06-01 02:10:00	830.58	15	null	0	null	null	178	null	18.5125	null	null	null	null	null	null	CON	0
NW07	2022-06-01 02:15:00	830.58	15	null	0	null	null	178	null	18.4875	null	null	null	null	null	null	CON	0
NW07	2022-06-01 02:20:00	830.58	15	null	0	null	null	178	null	18.4875	null	null	null	null	null	null	CON	0
NW07	2022-06-01 02:25:00	830.58	15	null	0	null	null	178	null	18.475	null	null	null	null	null	null	CON	0
NW07	2022-06-01 02:30:00	830.58	15	null	0	null	null	178	null	18.4625	null	null	null	null	null	null	CON	0
NW07	2022-06-01 02:35:00	830.58	15	null	0	null	null	178	null	18.4625	null	null	null	null	null	null	CON	0
NW07	2022-06-01 02:40:00	830.58	15	null	0	null	null	178	null	18.4375	null	null	null	null	null	null	CON	0
NW07	2022-06-01 02:45:00	830.58	15	null	0	null	null	178	null	18.4375	null	null	null	null	null	null	CON	0
NW07	2022-06-01 02:50:00	830.58	15	null	0	null	null	178	null	18.425	null	null	null	null	null	null	CON	0
NW07	2022-06-01 02:55:00	830.58	15	null	0	null	null	178	null	18.4125	null	null	null	null	null	null	CON	0
NW07	2022-06-01 03:00:00	830.58	15	null	0	null	null	178	null	18.4	null	null	null	null	null	null	CON	0
NW07	2022-06-01 03:05:00	830.58	15	null	0	null	null	178	null	18.3875	null	null	null	null	null	null	CON	0
NW07	2022-06-01 03:10:00	830.58	15	null	0	null	null	178	null	18.375	null	null	null	null	null	null	CON	0
NW07	2022-06-01 03:15:00	830.58	15	null	0	null	null	178	null	18.375	null	null	null	null	null	null	CON	0
NW07	2022-06-01 03:20:00	830.58	15	null	0	null	null	178	null	18.3625	null	null	null	null	null	null	CON	0
NW07	2022-06-01 03:25:00	830.58	14.33	null	0	null	null	178	null	18.35	null	null	null	null	null	null	CON	0
NW07	2022-06-01 03:30:00	830.58	14.67	null	0	null	null	178	null	18.3375	null	null	null	null	null	null	CON	0
NW07	2022-06-01 03:35:00	830.58	15	null	0	null	null	178	null	18.325	null	null	null	null	null	null	CON	0
NW07	2022-06-01 03:40:00	830.58	14.67	null	0	null	null	178	null	18.325	null	null	null	null	null	null	CON	0
NW07	2022-06-01 03:45:00	830.58	14.33	null	0	null	null	178	null	18.3125	null	null	null	null	null	null	CON	0
NW07	2022-06-01 03:50:00	830.58	14	null	0	null	null	179	null	18.3	null	null	null	null	null	null	CON	0
NW07	2022-06-01 03:55:00	830.58	14	null	0	null	null	179	null	18.2875	null	null	null	null	null	null	CON	0
NW07	2022-06-01 04:00:00	830.58	14	null	0	null	null	179	null	18.275	null	null	null	null	null	null	CON	0
NW07	2022-06-01 04:05:00	830.58	14	null	0	null	null	179	null	18.2625	null	null	null	null	null	null	CON	0
NW07	2022-06-01 04:10:00	830.58	14	null	0	null	null	179	null	18.25	null	null	null	null	null	null	CON	0
NW07	2022-06-01 04:15:00	830.58	14	null	0	null	null	179	null	18.2375	null	null	null	null	null	null	CON	0
NW07	2022-06-01 04:20:00	830.58	14	null	0	null	null	179	null	18.225	null	null	null	null	null	null	CON	0
NW07	2022-06-01 04:25:00	830.58	14	null	0	null	null	179	null	18.2125	null	null	null	null	null	null	CON	0
NW07	2022-06-01 04:30:00	830.58	14	null	0	null	null	179	null	18.2	null	null	null	null	null	null	CON	0
NW07	2022-06-01 04:35:00	830.58	14	null	0	null	null	179	null	18.1875	null	null	null	null	null	null	CON	0
NW07	2022-06-01 04:40:00	830.58	14	null	0	null	null	179	null	18.1875	null	null	null	null	null	null	CON	0
NW07	2022-06-01 04:45:00	830.58	14	null	0	null	null	179	null	18.175	null	null	null	null	null	null	CON	0
NW07	2022-06-01 04:50:00	830.58	14	null	0	null	null	179	null	18.1625	null	null	null	null	null	null	CON	0
NW07	2022-06-01 04:55:00	830.58	14	null	0	null	null	179	null	18.15	null	null	null	null	null	null	CON	0
NW07	2022-06-01 05:00:00	830.58	14	null	0	null	null	179	null	18.1375	null	null	null	null	null	null	CON	0
NW07	2022-06-01 05:05:00	830.58	14	null	0	null	null	179	null	18.1375	null	null	null	null	null	null	CON	0
