STA_NO	INFO_DATE	H	TBD	TBDCAL	SS	TDS	ORP	EC	PH	CS	CHA	DOD	DOQ	DC	MachThe	INC	TBSTS   HL
NW10	2021-05-01 00:00:00	412.42	6	null	0.05	null	null	269	7.65	20.9	null	null	null	null	null	null	CON	2.5688
NW10	2021-05-01 00:05:00	412.4	6	null	0.075	null	null	269	7.65	20.9375	null	null	null	null	null	null	CON	2.55
NW10	2021-05-01 00:10:00	412.38	5.3	null	0.05	null	null	269	7.65	20.9125	null	null	null	null	null	null	CON	2.525
NW10	2021-05-01 00:15:00	412.36	6	null	0.05	null	null	269	7.65	20.8875	null	null	null	null	null	null	CON	2.5063
NW10	2021-05-01 00:20:00	412.33	5.3	null	0.05	null	null	270	7.65	20.8375	null	null	null	null	null	null	CON	2.4813
NW10	2021-05-01 00:25:00	412.31	5.3	null	0.05	null	null	270	7.65	20.8375	null	null	null	null	null	null	CON	2.4625
NW10	2021-05-01 00:30:00	412.29	5.3	null	0.075	null	null	270	7.65	20.7875	null	null	null	null	null	null	CON	2.4375
NW10	2021-05-01 00:35:00	412.27	5.3	12	0.1	null	null	270	7.65	20.7875	null	null	null	null	null	null	CON	2.4188
NW10	2021-05-01 00:40:00	412.25	6	null	0.075	null	null	270	7.65	20.725	null	null	null	null	null	null	CON	2.4
NW10	2021-05-01 00:45:00	412.23	6	null	0.075	null	null	270	7.625	20.6625	null	null	null	null	null	null	CON	2.375
NW10	2021-05-01 00:50:00	412.21	6	null	0.075	null	null	270	7.625	20.5875	null	null	null	null	null	null	CON	2.3563
NW10	2021-05-01 00:55:00	412.18	6	null	0.075	null	null	270	7.625	20.5625	null	null	null	null	null	null	CON	2.3313
NW10	2021-05-01 01:00:00	412.16	6	null	0.075	null	null	270	7.625	20.55	null	null	null	null	null	null	CON	2.3125
NW10	2021-05-01 01:05:00	412.14	6	12	0.1	null	null	270	7.625	20.5	null	null	null	null	null	null	CON	2.2875
NW10	2021-05-01 01:10:00	412.12	6	32	0.125	null	null	270	7.625	20.5125	null	null	null	null	null	null	CON	2.2688
NW10	2021-05-01 01:15:00	412.09	6	53	0.15	null	null	270	7.625	20.5125	null	null	null	null	null	null	CON	2.2438
NW10	2021-05-01 01:20:00	412.07	6	74	0.175	null	null	270	7.625	20.4375	null	null	null	null	null	null	CON	2.2188
NW10	2021-05-01 01:25:00	412.05	6	32	0.125	null	null	270	7.6	20.4	null	null	null	null	null	null	CON	2.2
NW10	2021-05-01 01:30:00	412.03	6	74	0.175	null	null	271	7.625	20.3875	null	null	null	null	null	null	CON	2.175
NW10	2021-05-01 01:35:00	412.01	6	53	0.15	null	null	270	7.625	20.425	null	null	null	null	null	null	CON	2.1563
NW10	2021-05-01 01:40:00	411.98	5.3	53	0.15	null	null	270	7.6	20.3875	null	null	null	null	null	null	CON	2.1313
NW10	2021-05-01 01:45:00	411.96	6	32	0.125	null	null	270	7.6	20.375	null	null	null	null	null	null	CON	2.1063
