STA_NO	INFO_DATE	H	TBD	TBDCAL	SS	TDS	ORP	EC	PH	CS	CHA	DOD	DOQ	DC	MachThe	INC	TBSTS   HL
NW08	2021-06-01 00:00:00	684.92	327	587	0.8	null	null	184	null	19.863	null	null	null	null	null	null	CON	0.272
NW08	2021-06-01 00:05:00	684.92	309	567	0.775	null	null	183	null	19.838	null	null	null	null	null	null	CON	0.272
NW08	2021-06-01 00:10:00	684.91	322	546	0.75	null	null	182	null	19.813	null	null	null	null	null	null	CON	0.265
NW08	2021-06-01 00:15:00	684.91	303	546	0.75	null	null	180	null	19.8	null	null	null	null	null	null	CON	0.259
NW08	2021-06-01 00:20:00	684.91	302	546	0.75	null	null	179	null	19.775	null	null	null	null	null	null	CON	0.259
NW08	2021-06-01 00:25:00	684.91	270	526	0.725	null	null	178	null	19.763	null	null	null	null	null	null	CON	0.259
NW08	2021-06-01 00:30:00	684.91	258	505	0.7	null	null	177	null	19.738	null	null	null	null	null	null	CON	0.259
NW08	2021-06-01 00:35:00	684.9	308	485	0.675	null	null	176	null	19.725	null	null	null	null	null	null	CON	0.252
NW08	2021-06-01 00:40:00	684.9	289	485	0.675	null	null	175	null	19.7	null	null	null	null	null	null	CON	0.252
NW08	2021-06-01 00:45:00	684.9	292	464	0.65	null	null	174	null	19.688	null	null	null	null	null	null	CON	0.246
NW08	2021-06-01 00:50:00	684.89	268	443	0.625	null	null	174	null	19.663	null	null	null	null	null	null	CON	0.239
NW08	2021-06-01 00:55:00	684.88	266	423	0.6	null	null	173	null	19.65	null	null	null	null	null	null	CON	0.232
NW08	2021-06-01 01:00:00	684.88	270	423	0.6	null	null	172	null	19.638	null	null	null	null	null	null	CON	0.232
NW08	2021-06-01 01:05:00	684.88	258	423	0.6	null	null	172	null	19.613	null	null	null	null	null	null	CON	0.232
NW08	2021-06-01 01:10:00	684.88	267	402	0.575	null	null	171	null	19.6	null	null	null	null	null	null	CON	0.226
NW08	2021-06-01 01:15:00	684.88	254	402	0.575	null	null	171	null	19.588	null	null	null	null	null	null	CON	0.226
NW08	2021-06-01 01:20:00	684.86	236	382	0.55	null	null	170	null	19.575	null	null	null	null	null	null	CON	0.212
NW08	2021-06-01 01:25:00	684.86	245	382	0.55	null	null	170	null	19.563	null	null	null	null	null	null	CON	0.212
NW08	2021-06-01 01:30:00	684.86	236	382	0.55	null	null	170	null	19.55	null	null	null	null	null	null	CON	0.212
NW08	2021-06-01 01:35:00	684.86	238	382	0.55	null	null	169	null	19.525	null	null	null	null	null	null	CON	0.206
NW08	2021-06-01 01:40:00	684.86	230	361	0.525	null	null	169	null	19.513	null	null	null	null	null	null	CON	0.206
NW08	2021-06-01 01:45:00	684.86	240	361	0.525	null	null	169	null	19.5	null	null	null	null	null	null	CON	0.206
NW08	2021-06-01 01:50:00	684.86	217	361	0.525	null	null	169	null	19.488	null	null	null	null	null	null	CON	0.206
NW08	2021-06-01 01:55:00	684.85	226	361	0.525	null	null	169	null	19.475	null	null	null	null	null	null	CON	0.199
NW08	2021-06-01 02:00:00	684.85	215	341	0.5	null	null	169	null	19.475	null	null	null	null	null	null	CON	0.199
NW08	2021-06-01 02:05:00	684.84	222	341	0.5	null	null	169	null	19.463	null	null	null	null	null	null	CON	0.186
NW08	2021-06-01 02:10:00	684.82	214	320	0.475	null	null	170	null	19.45	null	null	null	null	null	null	CON	0.173
NW08	2021-06-01 02:15:00	684.83	214	320	0.475	null	null	170	null	19.438	null	null	null	null	null	null	CON	0.179
NW08	2021-06-01 02:20:00	684.82	208	320	0.475	null	null	170	null	19.425	null	null	null	null	null	null	CON	0.173
NW08	2021-06-01 02:25:00	684.82	198	320	0.475	null	null	171	null	19.425	null	null	null	null	null	null	CON	0.173
NW08	2021-06-01 02:30:00	684.82	201	320	0.475	null	null	171	null	19.413	null	null	null	null	null	null	CON	0.166
NW08	2021-06-01 02:35:00	684.8	197	320	0.475	null	null	171	null	19.4	null	null	null	null	null	null	CON	0.153
NW08	2021-06-01 02:40:00	684.82	200	320	0.475	null	null	172	null	19.4	null	null	null	null	null	null	CON	0.166
NW08	2021-06-01 02:45:00	684.82	187	300	0.45	null	null	172	null	19.388	null	null	null	null	null	null	CON	0.166
NW08	2021-06-01 02:50:00	684.81	182	300	0.45	null	null	172	null	19.375	null	null	null	null	null	null	CON	0.159
NW08	2021-06-01 02:55:00	684.81	185	300	0.45	null	null	172	null	19.375	null	null	null	null	null	null	CON	0.159
NW08	2021-06-01 03:00:00	684.8	173	300	0.45	null	null	172	null	19.375	null	null	null	null	null	null	CON	0.146
NW08	2021-06-01 03:05:00	684.79	180	279	0.425	null	null	172	null	19.363	null	null	null	null	null	null	CON	0.139
NW08	2021-06-01 03:10:00	684.79	182	279	0.425	null	null	172	null	19.35	null	null	null	null	null	null	CON	0.139
NW08	2021-06-01 03:15:00	684.78	170	258	0.4	null	null	172	null	19.35	null	null	null	null	null	null	CON	0.133
NW08	2021-06-01 03:20:00	684.79	160	238	0.375	null	null	172	null	19.35	null	null	null	null	null	null	CON	0.139
NW08	2021-06-01 03:25:00	684.78	161	238	0.375	null	null	172	null	19.338	null	null	null	null	null	null	CON	0.133
NW08	2021-06-01 03:30:00	684.77	164	258	0.4	null	null	172	null	19.338	null	null	null	null	null	null	CON	0.12
NW08	2021-06-01 03:35:00	684.78	164	238	0.375	null	null	172	null	19.325	null	null	null	null	null	null	CON	0.133
NW08	2021-06-01 03:40:00	684.78	153	238	0.375	null	null	172	null	19.325	null	null	null	null	null	null	CON	0.133
NW08	2021-06-01 03:45:00	684.78	158	217	0.35	null	null	172	null	19.325	null	null	null	null	null	null	CON	0.126
NW08	2021-06-01 03:50:00	684.77	155	197	0.325	null	null	172	null	19.325	null	null	null	null	null	null	CON	0.12
NW08	2021-06-01 03:55:00	684.77	150	156	0.275	null	null	172	null	19.313	null	null	null	null	null	null	CON	0.12
NW08	2021-06-01 04:00:00	684.76	145	156	0.275	null	null	172	null	19.313	null	null	null	null	null	null	CON	0.113
NW08	2021-06-01 04:05:00	684.76	145	135	0.25	null	null	172	null	19.313	null	null	null	null	null	null	CON	0.113
NW08	2021-06-01 04:10:00	684.76	139	135	0.25	null	null	172	null	19.3	null	null	null	null	null	null	CON	0.113
NW08	2021-06-01 04:15:00	684.76	139	115	0.225	null	null	172	null	19.3	null	null	null	null	null	null	CON	0.106
NW08	2021-06-01 04:20:00	684.76	134	94	0.2	null	null	171	null	19.3	null	null	null	null	null	null	CON	0.113
NW08	2021-06-01 04:25:00	684.76	133	115	0.225	null	null	171	null	19.3	null	null	null	null	null	null	CON	0.106
NW08	2021-06-01 04:30:00	684.75	137	115	0.225	null	null	171	null	19.288	null	null	null	null	null	null	CON	0.1
NW08	2021-06-01 04:35:00	684.74	135	94	0.2	null	null	172	null	19.288	null	null	null	null	null	null	CON	0.086
NW08	2021-06-01 04:40:00	684.74	131	94	0.2	null	null	171	null	19.288	null	null	null	null	null	null	CON	0.093
NW08	2021-06-01 04:45:00	684.74	131	74	0.175	null	null	171	null	19.288	null	null	null	null	null	null	CON	0.093
NW08	2021-06-01 04:50:00	684.74	122	74	0.175	null	null	171	null	19.288	null	null	null	null	null	null	CON	0.093
NW08	2021-06-01 04:55:00	684.74	123	74	0.175	null	null	171	null	19.288	null	null	null	null	null	null	CON	0.093
NW08	2021-06-01 05:00:00	684.74	121	74	0.175	null	null	171	null	19.275	null	null	null	null	null	null	CON	0.093
NW08	2021-06-01 05:05:00	684.74	119	53	0.15	null	null	171	null	19.275	null	null	null	null	null	null	CON	0.093
NW08	2021-06-01 05:10:00	684.74	116	74	0.175	null	null	171	null	19.275	null	null	null	null	null	null	CON	0.086
NW08	2021-06-01 05:15:00	684.74	116	53	0.15	null	null	172	null	19.275	null	null	null	null	null	null	CON	0.093
NW08	2021-06-01 05:20:00	684.74	113	53	0.15	null	null	171	null	19.275	null	null	null	null	null	null	CON	0.086
NW08	2021-06-01 05:25:00	684.73	115	53	0.15	null	null	172	null	19.275	null	null	null	null	null	null	CON	0.08
NW08	2021-06-01 05:30:00	684.73	112	53	0.15	null	null	172	null	19.275	null	null	null	null	null	null	CON	0.08
NW08	2021-06-01 05:35:00	684.73	111	53	0.15	null	null	172	null	19.275	null	null	null	null	null	null	CON	0.08
NW08	2021-06-01 05:40:00	684.72	108	53	0.15	null	null	172	null	19.275	null	null	null	null	null	null	CON	0.073
NW08	2021-06-01 05:45:00	684.72	101	53	0.15	null	null	172	null	19.275	null	null	null	null	null	null	CON	0.066
NW08	2021-06-01 05:50:00	684.71	99	53	0.15	null	null	172	null	19.275	null	null	null	null	null	null	CON	0.06
