STA_NO	INFO_DATE	H	TBD	TBDCAL	SS	TDS	ORP	EC	PH	CS	CHA	DOD	DOQ	DC	MachThe	INC	TBSTS   HL
NW23	2021-09-01 00:00:00	240.4	484.33	361	0.525	null	null	189	null	22.45	null	null	null	null	null	null	CON	0
NW23	2021-09-01 00:05:00	240.4	501.33	341	0.5	null	null	189	null	22.45	null	null	null	null	null	null	CON	0
NW23	2021-09-01 00:10:00	240.4	516.67	361	0.525	null	null	188	null	22.4375	null	null	null	null	null	null	CON	0
NW23	2021-09-01 00:15:00	240.4	528.33	361	0.525	null	null	188	null	22.4125	null	null	null	null	null	null	CON	0
NW23	2021-09-01 00:20:00	240.4	480.67	341	0.5	null	null	188	null	22.4125	null	null	null	null	null	null	CON	0
NW23	2021-09-01 00:25:00	240.4	465	361	0.525	null	null	188	null	22.4	null	null	null	null	null	null	CON	0
NW23	2021-09-01 00:30:00	240.4	429.67	361	0.525	null	null	188	null	22.3875	null	null	null	null	null	null	CON	0
NW23	2021-09-01 00:35:00	240.4	471.33	361	0.525	null	null	188	null	22.375	null	null	null	null	null	null	CON	0
NW23	2021-09-01 00:40:00	240.4	459.33	361	0.525	null	null	188	null	22.3625	null	null	null	null	null	null	CON	0
NW23	2021-09-01 00:45:00	240.4	426	361	0.525	null	null	187	null	22.35	null	null	null	null	null	null	CON	0
NW23	2021-09-01 00:50:00	240.4	507.67	361	0.525	null	null	187	null	22.3375	null	null	null	null	null	null	CON	0
NW23	2021-09-01 00:55:00	240.4	530.67	361	0.525	null	null	188	null	22.325	null	null	null	null	null	null	CON	0
NW23	2021-09-01 01:00:00	240.4	495	361	0.525	null	null	188	null	22.3125	null	null	null	null	null	null	CON	0
NW23	2021-09-01 01:05:00	240.4	544	361	0.525	null	null	188	null	22.3	null	null	null	null	null	null	CON	0
NW23	2021-09-01 01:10:00	240.4	550	361	0.525	null	null	187	null	22.2875	null	null	null	null	null	null	CON	0
NW23	2021-09-01 01:15:00	240.4	488.67	341	0.5	null	null	188	null	22.275	null	null	null	null	null	null	CON	0
NW23	2021-09-01 01:20:00	240.4	461.67	361	0.525	null	null	188	null	22.2625	null	null	null	null	null	null	CON	0
