STA_NO	INFO_DATE	H	TBD	TBDCAL	SS	TDS	ORP	EC	PH	CS	CHA	DOD	DOQ	DC	MachThe	INC	TBSTS   HL
NW10	2021-02-01 00:00:00	412.58	3	null	0.075	null	null	237	7.15	15.1875	null	null	null	null	null	null	CON	2.7313
NW10	2021-02-01 00:05:00	412.56	3	null	0.075	null	null	237	7.125	15.15	null	null	null	null	null	null	CON	2.7125
NW10	2021-02-01 00:10:00	412.54	3	null	0.075	null	null	237	7.125	15.15	null	null	null	null	null	null	CON	2.6875
NW10	2021-02-01 00:15:00	412.51	3	null	0.075	null	null	237	7.125	15.1375	null	null	null	null	null	null	CON	2.6625
NW10	2021-02-01 00:20:00	412.49	3	null	0.075	null	null	237	7.175	15.2	null	null	null	null	null	null	CON	2.6375
NW10	2021-02-01 00:25:00	412.46	3	null	0.075	null	null	237	7.15	15.15	null	null	null	null	null	null	CON	2.6125
NW10	2021-02-01 00:30:00	412.44	3	null	0.075	null	null	237	7.125	15.0875	null	null	null	null	null	null	CON	2.5875
NW10	2021-02-01 00:35:00	412.42	3	null	0.075	null	null	237	7.15	15.1375	null	null	null	null	null	null	CON	2.5688
NW10	2021-02-01 00:40:00	412.39	3	12	0.1	null	null	237	7.175	15.2	null	null	null	null	null	null	CON	2.5438
NW10	2021-02-01 00:45:00	412.37	3	12	0.1	null	null	237	7.2	15.2375	null	null	null	null	null	null	CON	2.5188
NW10	2021-02-01 00:50:00	412.35	3	null	0.075	null	null	237	7.175	15.1375	null	null	null	null	null	null	CON	2.5
NW10	2021-02-01 00:55:00	412.33	3	null	0.075	null	null	237	7.15	15.0625	null	null	null	null	null	null	CON	2.475
NW10	2021-02-01 01:00:00	412.3	3	null	0.075	null	null	237	7.1	14.9375	null	null	null	null	null	null	CON	2.45
NW10	2021-02-01 01:05:00	412.28	3	null	0.075	null	null	237	7.1	14.9	null	null	null	null	null	null	CON	2.425
NW10	2021-02-01 01:10:00	412.26	3	null	0.075	null	null	237	7.1	14.95	null	null	null	null	null	null	CON	2.4063
NW10	2021-02-01 01:15:00	412.23	3	null	0.075	null	null	237	7.125	14.9375	null	null	null	null	null	null	CON	2.3813
NW10	2021-02-01 01:20:00	412.21	3	null	0.075	null	null	237	7.1	14.875	null	null	null	null	null	null	CON	2.3625
NW10	2021-02-01 01:25:00	412.19	3	null	0.075	null	null	237	7.15	15.025	null	null	null	null	null	null	CON	2.3375
NW10	2021-02-01 01:30:00	412.16	3	null	0.075	null	null	237	7.125	14.9	null	null	null	null	null	null	CON	2.3125
NW10	2021-02-01 01:35:00	412.14	3	null	0.075	null	null	237	7.1	14.8375	null	null	null	null	null	null	CON	2.2938
NW10	2021-02-01 01:40:00	412.12	3	null	0.075	null	null	237	7.075	14.775	null	null	null	null	null	null	CON	2.2688
NW10	2021-02-01 01:45:00	412.09	3	null	0.075	null	null	237	7.075	14.725	null	null	null	null	null	null	CON	2.2438
NW10	2021-02-01 01:50:00	412.08	3	null	0.075	null	null	237	7.1	14.875	null	null	null	null	null	null	CON	2.225
NW10	2021-02-01 01:55:00	412.05	3	null	0.075	null	null	237	7.125	14.9	null	null	null	null	null	null	CON	2.2
NW10	2021-02-01 02:00:00	412.03	3	null	0.075	null	null	237	7.1	14.7625	null	null	null	null	null	null	CON	2.175
NW10	2021-02-01 02:05:00	412.01	3	null	0.075	null	null	237	7.075	14.6875	null	null	null	null	null	null	CON	2.1563
NW10	2021-02-01 02:10:00	411.98	3	null	0.075	null	null	237	7.1	14.7375	null	null	null	null	null	null	CON	2.1313
NW10	2021-02-01 02:15:00	411.96	3	null	0.075	null	null	237	7.075	14.65	null	null	null	null	null	null	CON	2.1063
NW10	2021-02-01 02:20:00	411.94	3	null	0.075	null	null	237	7.075	14.6875	null	null	null	null	null	null	CON	2.0875
NW10	2021-02-01 02:25:00	411.91	3	null	0.075	null	null	237	7.075	14.675	null	null	null	null	null	null	CON	2.0625
NW10	2021-02-01 02:30:00	411.89	3	null	0.075	null	null	238	7.1	14.7125	null	null	null	null	null	null	CON	2.0438
NW10	2021-02-01 02:35:00	411.88	3	12	0.1	null	null	237	7.125	14.7625	null	null	null	null	null	null	CON	2.025
NW10	2021-02-01 02:40:00	411.85	3	null	0.075	null	null	238	7.1	14.7	null	null	null	null	null	null	CON	2
NW10	2021-02-01 02:45:00	411.83	3	null	0.075	null	null	237	7.1	14.6875	null	null	null	null	null	null	CON	1.9813
NW10	2021-02-01 02:50:00	411.81	3	null	0.075	null	null	238	7.1	14.65	null	null	null	null	null	null	CON	1.9563
NW10	2021-02-01 02:55:00	411.79	3	null	0.075	null	null	238	7.075	14.575	null	null	null	null	null	null	CON	1.9375
NW10	2021-02-01 03:00:00	411.77	3	12	0.1	null	null	238	7.075	14.575	null	null	null	null	null	null	CON	1.9188
NW10	2021-02-01 03:05:00	411.74	3	null	0.075	null	null	237	7.075	14.575	null	null	null	null	null	null	CON	1.8938
NW10	2021-02-01 03:10:00	411.73	3	null	0.075	null	null	238	7.075	14.5875	null	null	null	null	null	null	CON	1.875
NW10	2021-02-01 03:15:00	411.71	3	null	0.075	null	null	238	7.075	14.5375	null	null	null	null	null	null	CON	1.8563
NW10	2021-02-01 03:20:00	411.69	3	12	0.1	null	null	238	7.075	14.5125	null	null	null	null	null	null	CON	1.8375
NW10	2021-02-01 03:25:00	411.67	3	null	0.075	null	null	238	7.075	14.4625	null	null	null	null	null	null	CON	1.8188
NW10	2021-02-01 03:30:00	411.65	3	null	0.075	null	null	238	7.075	14.475	null	null	null	null	null	null	CON	1.8
NW10	2021-02-01 03:35:00	411.62	3	null	0.075	null	null	238	7.075	14.45	null	null	null	null	null	null	CON	1.7688
NW10	2021-02-01 03:40:00	411.6	3	null	0.075	null	null	238	7.075	14.425	null	null	null	null	null	null	CON	1.75
NW10	2021-02-01 03:45:00	411.58	3	null	0.075	null	null	238	7.075	14.4125	null	null	null	null	null	null	CON	1.725
NW10	2021-02-01 03:50:00	411.56	3	null	0.075	null	null	238	7.075	14.4125	null	null	null	null	null	null	CON	1.7063
