,,崩塌地面積(公頃),,,,,,,,新增崩塌地面積(公頃),,,,,,,,崩塌復育地面積(公頃),,,,,,,,,,RI指標,,,,,,,,RI_Type,RI_Type,RI_Type,RI_Type,RI_Type,3年平均,,,,,
斜坡單元編號,,25,26,27,28,29,30,31,32,25,26,27,28,29,30,31,32,25,26,27,28,29,30,31,32,,RI_2013,RI_2014,RI_2015,RI_2016,RI_2017,RI_2018,RI_2019,RI_2020,,(2013~2016),(2014~2017),(2015~2018),(2016~2019),(2017~2020),RI_2017,RI_2018,RI_2019,RI_2020,,RI_Type(2017~2020)
s019,26.93,0.19,0.24,0.21,0,0.05,0.08,0.11,0.07,0.01,0.06,0.07,0,0.05,0.04,0.04,0.03,0.04,0.02,0.09,0.21,0,0.01,0,0.07,,0.157894737,-0.166666667,0.095238095,#DIV/0!,-1,-0.375,-0.363636364,0.571428571,,,,,6,2,0.28,0.441176471,0.375,-0.258064516,,2
s020,56.25,2.04,1.95,3.16,0.13,1.25,0.79,1.05,0.43,0.19,0.27,3.04,0.12,1.18,0.07,0.52,0.12,1.15,0.36,1.84,3.15,0.05,0.53,0.23,0.59,,0.470588235,0.046153846,-0.379746835,23.30769231,-0.904,0.582278481,-0.276190476,1.093023256,,,,,5,2,0.121725732,0.217636023,0.642857143,-0.139204545,,2
s021,163.13,5.52,5.12,7.1,2.41,2.92,2.89,2.24,0.58,1.34,0.41,5.24,1.16,2,0.61,0.56,0.32,3.54,0.81,3.26,5.86,1.49,0.64,1.1,1.09,,0.398550725,0.078125,-0.278873239,1.950207469,-0.174657534,0.010380623,0.241071429,1.327586207,,,,,5,2,0.148717949,0.146214099,0.455066922,0.09617613,,2
s022,77.61,5.24,5.32,5.57,1.81,2.09,2.51,2.23,0.72,0.59,0.98,0.96,0.42,1.81,0.53,0.28,0.3,3.05,0.9,0.71,4.18,1.53,0.11,0.51,1.16,,0.469465649,-0.015037594,-0.044883303,2.077348066,-0.133971292,-0.167330677,0.103139013,1.194444444,,,,,5,2,0.212981744,0.234557596,0.380787037,0.051655629,,5
s023,407.31,15.16,12.56,14.09,6.16,12.89,13.34,12.99,7.61,1.92,2.81,6.48,5.4,9.11,1.74,1.03,1.03,12.81,5.41,4.95,13.33,1.87,1.29,1.26,8.56,,0.718337731,0.207006369,-0.108587651,1.287337662,-0.561675718,-0.033733133,0.017705928,0.989487516,,,,,5,2,0.038512035,-0.027753873,0.010356985,0.001494768,,2
s024,37.35,7.14,8.3,7.39,4.27,8.64,4.6,4.6,2.87,1.06,1.49,0.83,0.51,4.96,0.23,0,0.05,5.87,0.33,1.74,3.63,0.59,4.26,0,3.25,,0.673669468,-0.139759036,0.123139378,0.730679157,-0.505787037,0.876086957,0,1.114982578,,,,,4,2,-0.052447552,0.148192771,0.125734962,0.138097537,,4
s025,28.31,8.74,7.87,7.23,5.13,8.52,6.34,6.34,3.91,1.93,0.1,1.39,0.78,4.62,0.12,0,0.52,3.74,0.96,2.03,2.88,1.23,2.29,0,4.26,,0.207093822,0.109275731,0.088520055,0.409356725,-0.397887324,0.342271293,0,0.956521739,,,,,5,2,0.007304348,0.055841293,0.033421952,0.100358423,,2
s026,28.51,4.13,4.2,1.94,2.19,2.12,1.8,1.92,1.07,1.12,0.19,1.34,1.86,1.24,0.08,0.3,0.2,2.68,0.12,3.6,1.61,1.32,0.4,0.16,1.22,,0.377723971,-0.016666667,1.164948454,-0.114155251,0.037735849,0.177777778,-0.072916667,0.953271028,,,,,3,2,0.193301435,0.299378882,0.00124533,0.185238784,,2
s027,58.13,5.17,4.55,1.68,1.23,4.36,2.83,2.73,1.19,1.39,0.28,0.71,0.49,3.61,0.14,0.06,0.53,9.34,0.91,3.58,0.93,0.49,1.67,0.23,1.48,,1.537717602,0.138461538,1.708333333,0.357723577,-0.71559633,0.540636042,0.062271062,0.798319328,,,,,3,2,0.069373942,0.17029703,-0.087892377,-0.04230423,,2
s028,60.46,3.88,3.05,3.71,3.88,3.77,3.79,3.44,2.84,1.01,0.24,2.5,2.11,2.06,0.2,0.04,0.89,2.73,1.07,1.84,1.94,2.16,0.17,0.36,2.36,,0.443298969,0.272131148,-0.177897574,-0.043814433,0.026525199,-0.007915567,0.093023256,0.517605634,,,,,2,1,0.006939625,-0.050165017,0.014784946,0.134393064,,2
